!!SBtab SbtabVersion='1.0' TableType='Compound' TableName='C elegans metabolites'
!ID	!Name	!Location	!Charge	!Formula	!Identifiers:chebi	!Identifiers:pubmed	!Identifiers:doi	!Identifiers:eco	!Comment	!Curator	!Notes:InChI	!Notes:InChIKey	!Notes:SMILES	!Notes:Name_neutral	!Notes:Formula_Neutral	!Notes:InChI_neutral	!Notes:InChIKey_neutral	!Notes:SMILES_neutral	!Notes:ChEBI_neutral	!Notes:KEGG_neutral	!Notes:MetaCyc_neutral	!Notes:HMDB_neutral	!Notes:LipidMaps_neutral	!Notes:SwissLipids_neutral	!Notes:Wikidata_neutral	!Notes:Pubchem_neutral	!Notes:Metabolights_neutral	!Notes:Chemspider_neutral
M_c13isocrn_m	11-methyldodecanoylcarnitine	c	0	C20H39NO4							InChI=1S/C20H39NO4/c1-17(2)13-11-9-7-6-8-10-12-14-20(24)25-18(15-19(22)23)16-21(3,4)5/h17-18H,6-16H2,1-5H3	WVSKAENGKYNHGM-UHFFFAOYSA-N		11-methyldodecanoylcarnitine	C20H39NO4	InChI=1S/C20H39NO4/c1-17(2)13-11-9-7-6-8-10-12-14-20(24)25-18(15-19(22)23)16-21(3,4)5/h17-18H,6-16H2,1-5H3	WVSKAENGKYNHGM-UHFFFAOYSA-N											
M_c15isocoa_m	13-methyltetradecanoyl-CoA(4-)	m	-4	C36H60N7O17P3S							InChI=1S/C36H64N7O17P3S/c1-24(2)14-12-10-8-6-5-7-9-11-13-15-27(45)64-19-18-38-26(44)16-17-39-34(48)31(47)36(3,4)21-57-63(54,55)60-62(52,53)56-20-25-30(59-61(49,50)51)29(46)35(58-25)43-23-42-28-32(37)40-22-41-33(28)43/h22-25,29-31,35,46-47H,5-21H2,1-4H3,(H,38,44)(H,39,48)(H,52,53)(H,54,55)(H2,37,40,41)(H2,49,50,51)/p-4/t25-,29-,30-,31+,35-/m0/s1	TZHWAJXXUMOTBV-XYCQRFKUSA-J		13-methyltetradecanoyl-CoA	C36H64N7O17P3S	InChI=1/C36H64N7O17P3S/c1-24(2)14-12-10-8-6-5-7-9-11-13-15-27(45)64-19-18-38-26(44)16-17-39-34(48)31(47)36(3,4)21-57-63(54,55)60-62(52,53)56-20-25-30(59-61(49,50)51)29(46)35(58-25)43-23-42-28-32(37)40-22-41-33(28)43/h22-25,29-31,35,46-47H,5-21H2,1-4H3,(H,38,44)(H,39,48)(H,52,53)(H,54,55)(H2,37,40,41)(H2,49,50,51)/t25-,29-,30-,31+,35-/s2	TZHWAJXXUMOTBV-QEDBGTDONA-N											
M_c15isocrn_c	13-methyltetradecanoylcarnitine	c	0	C22H43NO4							InChI=1S/C22H43NO4/c1-19(2)15-13-11-9-7-6-8-10-12-14-16-22(26)27-20(17-21(24)25)18-23(3,4)5/h19-20H,6-18H2,1-5H3	ZXSCUWOHNPYHGO-UHFFFAOYSA-N		13-methyltetradecanoylcarnitine	C22H43NO4	InChI=1S/C22H43NO4/c1-19(2)15-13-11-9-7-6-8-10-12-14-16-22(26)27-20(17-21(24)25)18-23(3,4)5/h19-20H,6-18H2,1-5H3	ZXSCUWOHNPYHGO-UHFFFAOYSA-N											
M_c15isocrn_m	13-methyltetradecanoylcarnitine	c	0	C22H43NO4							InChI=1S/C22H43NO4/c1-19(2)15-13-11-9-7-6-8-10-12-14-16-22(26)27-20(17-21(24)25)18-23(3,4)5/h19-20H,6-18H2,1-5H3	ZXSCUWOHNPYHGO-UHFFFAOYSA-N		13-methyltetradecanoylcarnitine	C22H43NO4	InChI=1S/C22H43NO4/c1-19(2)15-13-11-9-7-6-8-10-12-14-16-22(26)27-20(17-21(24)25)18-23(3,4)5/h19-20H,6-18H2,1-5H3	ZXSCUWOHNPYHGO-UHFFFAOYSA-N											
M_c17isocoa_m	15-methylhexadecanoyl-CoA(4-)	m	-4	C38H64N7O17P3S							InChI=1S/C38H68N7O17P3S/c1-26(2)16-14-12-10-8-6-5-7-9-11-13-15-17-29(47)66-21-20-40-28(46)18-19-41-36(50)33(49)38(3,4)23-59-65(56,57)62-64(54,55)58-22-27-32(61-63(51,52)53)31(48)37(60-27)45-25-44-30-34(39)42-24-43-35(30)45/h24-27,31-33,37,48-49H,5-23H2,1-4H3,(H,40,46)(H,41,50)(H,54,55)(H,56,57)(H2,39,42,43)(H2,51,52,53)/p-4/t27-,31-,32-,33+,37-/m0/s1	AZUNRVWJJVHLJB-KMQDIOQZSA-J		15-methylhexadecanoyl-CoA	C38H68N7O17P3S	InChI=1/C38H68N7O17P3S/c1-26(2)16-14-12-10-8-6-5-7-9-11-13-15-17-29(47)66-21-20-40-28(46)18-19-41-36(50)33(49)38(3,4)23-59-65(56,57)62-64(54,55)58-22-27-32(61-63(51,52)53)31(48)37(60-27)45-25-44-30-34(39)42-24-43-35(30)45/h24-27,31-33,37,48-49H,5-23H2,1-4H3,(H,40,46)(H,41,50)(H,54,55)(H,56,57)(H2,39,42,43)(H2,51,52,53)/t27-,31-,32-,33+,37-/s2	AZUNRVWJJVHLJB-NIFDNFOCNA-N											
M_c17isocrn_c	15-methylhexadecanoylcarnitine	c	0	C24H47NO4							InChI=1S/C24H47NO4/c1-21(2)17-15-13-11-9-7-6-8-10-12-14-16-18-24(28)29-22(19-23(26)27)20-25(3,4)5/h21-22H,6-20H2,1-5H3	BGFOOMQLURIKCP-UHFFFAOYSA-N		15-methylhexadecanoylcarnitine	C24H47NO4	InChI=1S/C24H47NO4/c1-21(2)17-15-13-11-9-7-6-8-10-12-14-16-18-24(28)29-22(19-23(26)27)20-25(3,4)5/h21-22H,6-20H2,1-5H3	BGFOOMQLURIKCP-UHFFFAOYSA-N											
M_c17isocrn_m	15-methylhexadecanoylcarnitine	c	0	C24H47NO4							InChI=1S/C24H47NO4/c1-21(2)17-15-13-11-9-7-6-8-10-12-14-16-18-24(28)29-22(19-23(26)27)20-25(3,4)5/h21-22H,6-20H2,1-5H3	BGFOOMQLURIKCP-UHFFFAOYSA-N		15-methylhexadecanoylcarnitine	C24H47NO4	InChI=1S/C24H47NO4/c1-21(2)17-15-13-11-9-7-6-8-10-12-14-16-18-24(28)29-22(19-23(26)27)20-25(3,4)5/h21-22H,6-20H2,1-5H3	BGFOOMQLURIKCP-UHFFFAOYSA-N											
M_c19isocoa_m	17-methyloctadecanoyl-CoA(4-)	m	-4	C40H68N7O17P3S							InChI=1S/C40H72N7O17P3S/c1-28(2)18-16-14-12-10-8-6-5-7-9-11-13-15-17-19-31(49)68-23-22-42-30(48)20-21-43-38(52)35(51)40(3,4)25-61-67(58,59)64-66(56,57)60-24-29-34(63-65(53,54)55)33(50)39(62-29)47-27-46-32-36(41)44-26-45-37(32)47/h26-29,33-35,39,50-51H,5-25H2,1-4H3,(H,42,48)(H,43,52)(H,56,57)(H,58,59)(H2,41,44,45)(H2,53,54,55)/p-4/t29-,33-,34-,35+,39-/m0/s1	AXKMONXYDZCRKO-MJVJSIPZSA-J		17-methyloctadecanoyl-CoA	C40H72N7O17P3S	InChI=1/C40H72N7O17P3S/c1-28(2)18-16-14-12-10-8-6-5-7-9-11-13-15-17-19-31(49)68-23-22-42-30(48)20-21-43-38(52)35(51)40(3,4)25-61-67(58,59)64-66(56,57)60-24-29-34(63-65(53,54)55)33(50)39(62-29)47-27-46-32-36(41)44-26-45-37(32)47/h26-29,33-35,39,50-51H,5-25H2,1-4H3,(H,42,48)(H,43,52)(H,56,57)(H,58,59)(H2,41,44,45)(H2,53,54,55)/t29-,33-,34-,35+,39-/s2	AXKMONXYDZCRKO-RBJMYMAANA-N											
M_c19isocrn_c	17-methyloctadecanoylcarnitine	c	0	C26H51NO4							InChI=1S/C26H51NO4/c1-23(2)19-17-15-13-11-9-7-6-8-10-12-14-16-18-20-26(30)31-24(21-25(28)29)22-27(3,4)5/h23-24H,6-22H2,1-5H3	USEXJCCNPVRQHM-UHFFFAOYSA-N		17-methyloctadecanoylcarnitine	C26H51NO4	InChI=1S/C26H51NO4/c1-23(2)19-17-15-13-11-9-7-6-8-10-12-14-16-18-20-26(30)31-24(21-25(28)29)22-27(3,4)5/h23-24H,6-22H2,1-5H3	USEXJCCNPVRQHM-UHFFFAOYSA-N											
M_c19isocrn_m	17-methyloctadecanoylcarnitine	c	0	C26H51NO4							InChI=1S/C26H51NO4/c1-23(2)19-17-15-13-11-9-7-6-8-10-12-14-16-18-20-26(30)31-24(21-25(28)29)22-27(3,4)5/h23-24H,6-22H2,1-5H3	USEXJCCNPVRQHM-UHFFFAOYSA-N		17-methyloctadecanoylcarnitine	C26H51NO4	InChI=1S/C26H51NO4/c1-23(2)19-17-15-13-11-9-7-6-8-10-12-14-16-18-20-26(30)31-24(21-25(28)29)22-27(3,4)5/h23-24H,6-22H2,1-5H3	USEXJCCNPVRQHM-UHFFFAOYSA-N											
M_3dsphgn_c	3-Dehydrosphinganine	c	1	C18H38NO2	CHEBI:58299				changed formula to charged version	wimi	InChI=1S/C18H37NO2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-18(21)17(19)16-20/h17,20H,2-16,19H2,1H3/p+1/t17-/m0/s1	KBUNOSOGGAARKZ-KRWDZBQOSA-O		3-dehydrosphinganine	C18H37NO2	InChI=1S/C18H37NO2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-18(21)17(19)16-20/h17,20H,2-16,19H2,1H3/t17-/m0/s1	KBUNOSOGGAARKZ-KRWDZBQOSA-N		CHEBI:17862	C02934		HMDB01480;HMDB0001480	LMSP01020002		Q27073739	439853		388895
M_3oc13isocoa_m	3-Oxo-11-methyldodecanoyl-CoA(4-)	m	-4	C34H54N7O18P3S							InChI=1S/C34H58N7O18P3S/c1-21(2)10-8-6-5-7-9-11-22(42)16-25(44)63-15-14-36-24(43)12-13-37-32(47)29(46)34(3,4)18-56-62(53,54)59-61(51,52)55-17-23-28(58-60(48,49)50)27(45)33(57-23)41-20-40-26-30(35)38-19-39-31(26)41/h19-21,23,27-29,33,45-46H,5-18H2,1-4H3,(H,36,43)(H,37,47)(H,51,52)(H,53,54)(H2,35,38,39)(H2,48,49,50)/p-4/t23-,27-,28-,29+,33-/m0/s1	NPNHPOVKALYFTL-VAFZQPSJSA-J		3-Oxo-11-methyldodecanoyl-CoA	C34H58N7O18P3S	InChI=1/C34H58N7O18P3S/c1-21(2)10-8-6-5-7-9-11-22(42)16-25(44)63-15-14-36-24(43)12-13-37-32(47)29(46)34(3,4)18-56-62(53,54)59-61(51,52)55-17-23-28(58-60(48,49)50)27(45)33(57-23)41-20-40-26-30(35)38-19-39-31(26)41/h19-21,23,27-29,33,45-46H,5-18H2,1-4H3,(H,36,43)(H,37,47)(H,51,52)(H,53,54)(H2,35,38,39)(H2,48,49,50)/t23-,27-,28-,29+,33-/s2	NPNHPOVKALYFTL-CUBDUGMWNA-N											
M_3oc15isocoa_m	3-Oxo-13-methyltetradecanoyl-CoA(4-)	m	-4	C36H58N7O18P3S							InChI=1S/C36H62N7O18P3S/c1-23(2)12-10-8-6-5-7-9-11-13-24(44)18-27(46)65-17-16-38-26(45)14-15-39-34(49)31(48)36(3,4)20-58-64(55,56)61-63(53,54)57-19-25-30(60-62(50,51)52)29(47)35(59-25)43-22-42-28-32(37)40-21-41-33(28)43/h21-23,25,29-31,35,47-48H,5-20H2,1-4H3,(H,38,45)(H,39,49)(H,53,54)(H,55,56)(H2,37,40,41)(H2,50,51,52)/p-4/t25-,29-,30-,31+,35-/m0/s1	MAMJAMHAMPVLFR-XYCQRFKUSA-J		3-Oxo-13-methyltetradecanoyl-CoA	C36H62N7O18P3S	InChI=1/C36H62N7O18P3S/c1-23(2)12-10-8-6-5-7-9-11-13-24(44)18-27(46)65-17-16-38-26(45)14-15-39-34(49)31(48)36(3,4)20-58-64(55,56)61-63(53,54)57-19-25-30(60-62(50,51)52)29(47)35(59-25)43-22-42-28-32(37)40-21-41-33(28)43/h21-23,25,29-31,35,47-48H,5-20H2,1-4H3,(H,38,45)(H,39,49)(H,53,54)(H,55,56)(H2,37,40,41)(H2,50,51,52)/t25-,29-,30-,31+,35-/s2	MAMJAMHAMPVLFR-QEDBGTDONA-N											
M_3oc17isocoa_m	3-Oxo-15-methylhexadecanoyl-CoA(4-)	m	-4	C38H62N7O18P3S							InChI=1S/C38H66N7O18P3S/c1-25(2)14-12-10-8-6-5-7-9-11-13-15-26(46)20-29(48)67-19-18-40-28(47)16-17-41-36(51)33(50)38(3,4)22-60-66(57,58)63-65(55,56)59-21-27-32(62-64(52,53)54)31(49)37(61-27)45-24-44-30-34(39)42-23-43-35(30)45/h23-25,27,31-33,37,49-50H,5-22H2,1-4H3,(H,40,47)(H,41,51)(H,55,56)(H,57,58)(H2,39,42,43)(H2,52,53,54)/p-4/t27-,31-,32-,33+,37-/m0/s1	RNYKJLHCAKTRHT-KMQDIOQZSA-J		3-Oxo-15-methylhexadecanoyl-CoA	C38H66N7O18P3S	InChI=1/C38H66N7O18P3S/c1-25(2)14-12-10-8-6-5-7-9-11-13-15-26(46)20-29(48)67-19-18-40-28(47)16-17-41-36(51)33(50)38(3,4)22-60-66(57,58)63-65(55,56)59-21-27-32(62-64(52,53)54)31(49)37(61-27)45-24-44-30-34(39)42-23-43-35(30)45/h23-25,27,31-33,37,49-50H,5-22H2,1-4H3,(H,40,47)(H,41,51)(H,55,56)(H,57,58)(H2,39,42,43)(H2,52,53,54)/t27-,31-,32-,33+,37-/s2	RNYKJLHCAKTRHT-NIFDNFOCNA-N											
M_3oc19isocoa_m	3-Oxo-17-methyloctadecanoyl-CoA(4-)	m	-4	C40H66N7O18P3S							InChI=1S/C40H70N7O18P3S/c1-27(2)16-14-12-10-8-6-5-7-9-11-13-15-17-28(48)22-31(50)69-21-20-42-30(49)18-19-43-38(53)35(52)40(3,4)24-62-68(59,60)65-67(57,58)61-23-29-34(64-66(54,55)56)33(51)39(63-29)47-26-46-32-36(41)44-25-45-37(32)47/h25-27,29,33-35,39,51-52H,5-24H2,1-4H3,(H,42,49)(H,43,53)(H,57,58)(H,59,60)(H2,41,44,45)(H2,54,55,56)/p-4/t29-,33-,34-,35+,39-/m0/s1	VDWTVJZJJZRUJG-MJVJSIPZSA-J		3-Oxo-17-methyloctadecanoyl-CoA	C40H70N7O18P3S	InChI=1/C40H70N7O18P3S/c1-27(2)16-14-12-10-8-6-5-7-9-11-13-15-17-28(48)22-31(50)69-21-20-42-30(49)18-19-43-38(53)35(52)40(3,4)24-62-68(59,60)65-67(57,58)61-23-29-34(64-66(54,55)56)33(51)39(63-29)47-26-46-32-36(41)44-25-45-37(32)47/h25-27,29,33-35,39,51-52H,5-24H2,1-4H3,(H,42,49)(H,43,53)(H,57,58)(H,59,60)(H2,41,44,45)(H2,54,55,56)/t29-,33-,34-,35+,39-/s2	VDWTVJZJJZRUJG-RBJMYMAANA-N											
