!!SBtab SbtabVersion='1.0' TableType='Definition' TableName='Allowed_types'
!ComponentName	!ComponentType	!IsPartOf	!Format	!Description
GO_function	Column	Gene	string	Cross-references to Gene Ontology molecular function branch. Note that the prefix <U+0091>GO:<U+0092> is part of Gene Ontology identifiers. Several cross-ref should be separated by <U+0093>;<U+0094>
GO_component	Column	Gene	string	Cross-references to Gene Ontology cell component branch. Note that the prefix <U+0091>GO:<U+0092> is part of Gene Ontology identifiers. Several cross-ref should be separated by <U+0093>;<U+0094>
Identifiers:ec-code	Column	Gene	string	Cross-references to the Enzyme Classification.  Several cross-ref should be separated by <U+0093>;<U+0094>
Comment	Column	Gene	string	Any free form comment about the row
Curator	Column	Gene	string	The identifier of the Curator. The details are in the Curator table
ID	Column	Compound	string	Compound short name, to be used in the reaction tables
Name	Column	Compound	string	Human readable name of the compound. Ideally the ChEBI name.
Location	Column	Compound	string	Compartment where the compound is located. It should be the value of an ID field of the Compartment table.
Charge	Column	Compound	integer	Electrical charge of the compound
Formula	Column	Compound	string	Chemical formula, if possible coming from ChEBI
Identifiers:chebi	Column	Compound	string	Cross-reference to ChEBI. Note that the prefix <U+0091>CHEBI:<U+0092> is part of ChEBI identifiers. Several cross-ref should be separated by <U+0093>;<U+0094>
Identifiers:kegg.compound	Column	Compound	string	Cross-reference to KEGG compound. Several cross-ref should be separated by <U+0093>;<U+0094>
Identifiers:pubmed	Column	Compound	string	Cross-reference to PubMed. Only put the numerical identifier is included, no prefix such as <U+0093>PMID:<U+0094>. Several cross-ref should be separated by <U+0093>;<U+0094>
Identifiers:DOI	Column	Compound	string	Digital Object Identifiers linking to a source of information. Only the identifier is included, no prefix such as <U+0093>DOI:<U+0094>. Several cross-ref should be separated by <U+0093>;<U+0094>
Identifiers:eco	Column	Compound	string	Cross-reference to terms from the Evidence Ontology.  Note that the prefix <U+0091>ECO:<U+0092> is part of ECO identifiers.
Comment	Column	Compound	string	Any free form comment about the row
Curator	Column	Compound	string	The identifier of the Curator. The details are in the Curator table
ID	Column	Compartment	string	Compartment short name, to be used in the compound tables
Name	Column	Compartment	string	Human readable name of the reaction
Identifiers:go	Column	Compartment	string	Cross-reference to Gene Ontology, cell component branch. Note that the prefix <U+0091>GO:<U+0092> is part of Gene Ontology identifiers. Several cross-ref should be separated by <U+0093>,<U+0094>
Comment	Column	Compartment	string	Any free form comment about the row
ID	Column	Pathway	string	Pathway short name, to be used in the reaction table
Name	Column	Pathway	string	Human readable name of the pathway
Kind	Column	Pathway	string	Should always be partonomy
GO_process	Column	Pathway	string	Cross-references to Gene Ontology biological process branch. Note that the prefix <U+0091>GO:<U+0092> is part of Gene Ontology identifiers. Several cross-ref should be separated by <U+0093>;<U+0094>
Identifiers:kegg.pathway	Column	Pathway	string	Cross-reference to KEGG PATHWAY. Several cross-ref should be separated by <U+0093>;<U+0094>
Comment	Column	Pathway	string	Any free form comment about the row
Curator	Column	Pathway	string	The identifier of the Curator. The details are in the Curator table
ID	Column	Compound-class	string	Compound-class short name, to be used in the reaction table
Name	Column	Compound-class	string	Human readable name of the compound class
Kind	Column	Compound-class	string	Should always be classification
Identifiers:chebi	Column	Compound-class	string	Cross-reference to the ChEBI entries corresponding to the compound classes. Note that the prefix <U+0091>CHEBI:<U+0092> is part of ChEBI identifiers. Several cross-ref should be separated by <U+0093>;<U+0094>
Comment	Column	Compound-class	string	Any free form comment about the row
Curator	Column	Compound-class	string	The identifier of the Curator. The details are in the Curator table
ID	Column	Curator	string	A unique string that identifies the curator
given-name	Column	Curator	string	Given name of the curator, including first and middele names
family-name	Column	Curator	string	Family name or names of the curator
organization-name	Column	Curator	string	Affiliation of the curator, Several organizations should be separated by ";"
email	Column	Curator	string	Email address of the curator. Several addresses should be separated by ";"
Notes	Column	All	string	The columns named <U+0093>!Notes:something<U+0094> contain non-standard information to be included in the "notes" elements of the SBML file and not in bona fide SBML elements
