!!SBtab SbtabVersion='1.0' TableType='Compound' TableName='C elegans metabolites'
!ID	!Name	!Location	!Charge	!Formula	!Identifiers:chebi	!Identifiers:pubmed	!Identifiers:doi	!Identifiers:eco	!Comment	!Curator	!Notes:Old_ID	!Notes:InChI	!Notes:InChIKey	!Notes:SMILES	!Notes:Name_neutral	!Notes:Formula_Neutral	!Notes:InChI_neutral	!Notes:InChIKey_neutral	!Notes:SMILES_neutral	!Notes:ChEBI_neutral	!Notes:KEGG_neutral	!Notes:MetaCyc_neutral	!Notes:HMDB_neutral	!Notes:LipidMaps_neutral	!Notes:SwissLipids_neutral	!Notes:Wikidata_neutral	!Notes:Pubchem_neutral	!Notes:Metabolights_neutral	!Notes:Chemspider_neutral
M_archcoa_m	arachidoyl-CoA	m	0	C41H74N7O17P3S	CHEBI:57380				[DELETION]	wimi				CCCCCCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])([O-])=O)N1C=NC2=C1N=CN=C2N															
M_ascr_11coa_c	ascr#11-CoA(4-)	c	-4	C31H48N7O21P3S	CHEBI:139620							InChI=1S/C31H52N7O21P3S/c1-15(55-30-18(40)10-17(39)16(2)56-30)9-21(42)63-8-7-33-20(41)5-6-34-28(45)25(44)31(3,4)12-54-62(51,52)59-61(49,50)53-11-19-24(58-60(46,47)48)23(43)29(57-19)38-14-37-22-26(32)35-13-36-27(22)38/h13-19,23-25,29-30,39-40,43-44H,5-12H2,1-4H3,(H,33,41)(H,34,45)(H,49,50)(H,51,52)(H2,32,35,36)(H2,46,47,48)/p-4/t15-,16+,17-,18-,19-,23-,24-,25+,29-,30-/m1/s1	LCKLCDFFQNBIME-KORRKESGSA-J	C[C@H](CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])([O-])=O)N2C=NC3=C(N)N=CN=C23)O[C@@H]4O[C@@H](C)[C@H](O)C[C@H]4O	ascr#11-CoA	C31H52N7O21P3S	InChI=1S/C31H52N7O21P3S/c1-15(55-30-18(40)10-17(39)16(2)56-30)9-21(42)63-8-7-33-20(41)5-6-34-28(45)25(44)31(3,4)12-54-62(51,52)59-61(49,50)53-11-19-24(58-60(46,47)48)23(43)29(57-19)38-14-37-22-26(32)35-13-36-27(22)38/h13-19,23-25,29-30,39-40,43-44H,5-12H2,1-4H3,(H,33,41)(H,34,45)(H,49,50)(H,51,52)(H2,32,35,36)(H2,46,47,48)/t15-,16+,17-,18-,19-,23-,24-,25+,29-,30-/m1/s1	LCKLCDFFQNBIME-KORRKESGSA-N	C[C@H](CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N2C=NC3=C(N)N=CN=C23)O[C@@H]4O[C@@H](C)[C@H](O)C[C@H]4O	CHEBI:139619									
M_bhas_12coa_c	bhas#12-CoA(4-)	c	-4	C33H52N7O22P3S	CHEBI:139725							InChI=1S/C33H56N7O22P3S/c1-16(58-32-20(43)11-19(42)17(2)59-32)9-18(41)10-23(45)66-8-7-35-22(44)5-6-36-30(48)27(47)33(3,4)13-57-65(54,55)62-64(52,53)56-12-21-26(61-63(49,50)51)25(46)31(60-21)40-15-39-24-28(34)37-14-38-29(24)40/h14-21,25-27,31-32,41-43,46-47H,5-13H2,1-4H3,(H,35,44)(H,36,48)(H,52,53)(H,54,55)(H2,34,37,38)(H2,49,50,51)/p-4/t16-,17+,18-,19-,20-,21-,25-,26-,27+,31-,32-/m1/s1	XBAWSFFIUSWJMC-FHHZALDKSA-J	C[C@H](C[C@@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])([O-])=O)N2C=NC3=C(N)N=CN=C23)O[C@@H]4O[C@@H](C)[C@H](O)C[C@H]4O	bhas#12-CoA	C33H56N7O22P3S	InChI=1S/C33H56N7O22P3S/c1-16(58-32-20(43)11-19(42)17(2)59-32)9-18(41)10-23(45)66-8-7-35-22(44)5-6-36-30(48)27(47)33(3,4)13-57-65(54,55)62-64(52,53)56-12-21-26(61-63(49,50)51)25(46)31(60-21)40-15-39-24-28(34)37-14-38-29(24)40/h14-21,25-27,31-32,41-43,46-47H,5-13H2,1-4H3,(H,35,44)(H,36,48)(H,52,53)(H,54,55)(H2,34,37,38)(H2,49,50,51)/t16-,17+,18-,19-,20-,21-,25-,26-,27+,31-,32-/m1/s	XBAWSFFIUSWJMC-FHHZALDKSA-N	C[C@H](C[C@@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N2C=NC3=C(N)N=CN=C23)O[C@@H]4O[C@@H](C)[C@H](O)C[C@H]4O	CHEBI:139724									
M_bhos_12coa_c	bhos#12-CoA(4-)	c	-4	C33H52N7O22P3S	CHEBI:139780							InChI=1S/C33H56N7O22P3S/c1-17-19(42)12-20(43)32(59-17)56-9-4-5-18(41)11-23(45)66-10-8-35-22(44)6-7-36-30(48)27(47)33(2,3)14-58-65(54,55)62-64(52,53)57-13-21-26(61-63(49,50)51)25(46)31(60-21)40-16-39-24-28(34)37-15-38-29(24)40/h15-21,25-27,31-32,41-43,46-47H,4-14H2,1-3H3,(H,35,44)(H,36,48)(H,52,53)(H,54,55)(H2,34,37,38)(H2,49,50,51)/p-4/t17-,18+,19+,20+,21+,25+,26+,27-,31+,32+/m0/s1	UGENGPKSXSGTSW-XTKLXGSESA-J	C[C@@H]1O[C@@H](OCCC[C@@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP([O-])(=O)OP([O-])(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2OP([O-])([O-])=O)N3C=NC4=C(N)N=CN=C34)[C@H](O)C[C@H]1O	bhos#12-CoA	C33H56N7O22P3S	InChI=1S/C33H56N7O22P3S/c1-17-19(42)12-20(43)32(59-17)56-9-4-5-18(41)11-23(45)66-10-8-35-22(44)6-7-36-30(48)27(47)33(2,3)14-58-65(54,55)62-64(52,53)57-13-21-26(61-63(49,50)51)25(46)31(60-21)40-16-39-24-28(34)37-15-38-29(24)40/h15-21,25-27,31-32,41-43,46-47H,4-14H2,1-3H3,(H,35,44)(H,36,48)(H,52,53)(H,54,55)(H2,34,37,38)(H2,49,50,51)/t17-,18+,19+,20+,21+,25+,26+,27-,31+,32+/m0/s1	UGENGPKSXSGTSW-XTKLXGSESA-	C[C@@H]1O[C@@H](OCCC[C@@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2OP(O)(O)=O)N3C=NC4=C(N)N=CN=C34)[C@H](O)C[C@H]1O	CHEBI:139779									
M_bkas_12coa_c	bkas#12-CoA(4-)	c	-4	C33H50N7O22P3S	CHEBI:139836							InChI=1S/C33H54N7O22P3S/c1-16(58-32-20(43)11-19(42)17(2)59-32)9-18(41)10-23(45)66-8-7-35-22(44)5-6-36-30(48)27(47)33(3,4)13-57-65(54,55)62-64(52,53)56-12-21-26(61-63(49,50)51)25(46)31(60-21)40-15-39-24-28(34)37-14-38-29(24)40/h14-17,19-21,25-27,31-32,42-43,46-47H,5-13H2,1-4H3,(H,35,44)(H,36,48)(H,52,53)(H,54,55)(H2,34,37,38)(H2,49,50,51)/p-4/t16-,17+,19-,20-,21-,25-,26-,27+,31-,32-/m1/s1	SOIDBLBUCQIJLL-AUNNCQRVSA-J	C[C@H](CC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])([O-])=O)N2C=NC3=C(N)N=CN=C23)O[C@@H]4O[C@@H](C)[C@H](O)C[C@H]4O	bkas#12-CoA	C33H54N7O22P3S	InChI=1S/C33H54N7O22P3S/c1-16(58-32-20(43)11-19(42)17(2)59-32)9-18(41)10-23(45)66-8-7-35-22(44)5-6-36-30(48)27(47)33(3,4)13-57-65(54,55)62-64(52,53)56-12-21-26(61-63(49,50)51)25(46)31(60-21)40-15-39-24-28(34)37-14-38-29(24)40/h14-17,19-21,25-27,31-32,42-43,46-47H,5-13H2,1-4H3,(H,35,44)(H,36,48)(H,52,53)(H,54,55)(H2,34,37,38)(H2,49,50,51)/t16-,17+,19-,20-,21-,25-,26-,27+,31-,32-/m1/s	SOIDBLBUCQIJLL-AUNNCQRVSA-N	C[C@H](CC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N2C=NC3=C(N)N=CN=C23)O[C@@H]4O[C@@H](C)[C@H](O)C[C@H]4O	CHEBI:139835									
M_bkos_12coa_c	bkos#12-CoA(4-)	c	-4	C33H50N7O22P3S	CHEBI:139905							InChI=1S/C33H54N7O22P3S/c1-17-19(42)12-20(43)32(59-17)56-9-4-5-18(41)11-23(45)66-10-8-35-22(44)6-7-36-30(48)27(47)33(2,3)14-58-65(54,55)62-64(52,53)57-13-21-26(61-63(49,50)51)25(46)31(60-21)40-16-39-24-28(34)37-15-38-29(24)40/h15-17,19-21,25-27,31-32,42-43,46-47H,4-14H2,1-3H3,(H,35,44)(H,36,48)(H,52,53)(H,54,55)(H2,34,37,38)(H2,49,50,51)/p-4/t17-,19+,20+,21+,25+,26+,27-,31+,32+/m0/s1	XEXFZJDKGHLWIB-PWGBCQQASA-J	C[C@@H]1O[C@@H](OCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP([O-])(=O)OP([O-])(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2OP([O-])([O-])=O)N3C=NC4=C(N)N=CN=C34)[C@H](O)C[C@H]1O	bkos#12-CoA	C33H54N7O22P3S	InChI=1S/C33H54N7O22P3S/c1-17-19(42)12-20(43)32(59-17)56-9-4-5-18(41)11-23(45)66-10-8-35-22(44)6-7-36-30(48)27(47)33(2,3)14-58-65(54,55)62-64(52,53)57-13-21-26(61-63(49,50)51)25(46)31(60-21)40-16-39-24-28(34)37-15-38-29(24)40/h15-17,19-21,25-27,31-32,42-43,46-47H,4-14H2,1-3H3,(H,35,44)(H,36,48)(H,52,53)(H,54,55)(H2,34,37,38)(H2,49,50,51)/t17-,19+,20+,21+,25+,26+,27-,31+,32+/m0/s1	XEXFZJDKGHLWIB-PWGBCQQASA-N	C[C@@H]1O[C@@H](OCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2OP(O)(O)=O)N3C=NC4=C(N)N=CN=C34)[C@H](O)C[C@H]1O	CHEBI:139904									
M_carn12_0_11me__L_c	O-11-methyldodecanoyl-L-carnitine	c	0	C20H39NO4					correct to L-carnitine version, added new systematic ID	wimi	M_c13isocrn_c	InChI=1/C20H39NO4/c1-17(2)13-11-9-7-6-8-10-12-14-20(24)25-18(15-19(22)23)16-21(3,4)5/h17-18H,6-16H2,1-5H3/t18-/s2	WVSKAENGKYNHGM-LGWFVXIRNA-N	CC(C)CCCCCCCCCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C	11-methyldodecanoyl-L-carnitine	C20H39NO4	InChI=1/C20H39NO4/c1-17(2)13-11-9-7-6-8-10-12-14-20(24)25-18(15-19(22)23)16-21(3,4)5/h17-18H,6-16H2,1-5H3/t18-/s2	WVSKAENGKYNHGM-LGWFVXIRNA-N	CC(C)CCCCCCCCCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C										
M_carn12_0_11me__L_m	O-11-methyldodecanoyl-L-carnitine	m	0	C20H39NO4					correct to L-carnitine version, added new systematic ID	wimi	M_c13isocrn_m	InChI=1/C20H39NO4/c1-17(2)13-11-9-7-6-8-10-12-14-20(24)25-18(15-19(22)23)16-21(3,4)5/h17-18H,6-16H2,1-5H3/t18-/s2	WVSKAENGKYNHGM-LGWFVXIRNA-N	CC(C)CCCCCCCCCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C	11-methyldodecanoyl-L-carnitine	C20H39NO4	InChI=1/C20H39NO4/c1-17(2)13-11-9-7-6-8-10-12-14-20(24)25-18(15-19(22)23)16-21(3,4)5/h17-18H,6-16H2,1-5H3/t18-/s2	WVSKAENGKYNHGM-LGWFVXIRNA-N	CC(C)CCCCCCCCCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C										
M_carn14_0_13me__L_c	O-13-methyltetradecanoyl-L-carnitine	c	0	C22H43NO4					correct to L-carnitine version, added new systematic ID	wimi	M_c15isocrn_c	InChI=1/C22H43NO4/c1-19(2)15-13-11-9-7-6-8-10-12-14-16-22(26)27-20(17-21(24)25)18-23(3,4)5/h19-20H,6-18H2,1-5H3/t20-/s2	ZXSCUWOHNPYHGO-GNLPSFAGNA-N	CC(C)CCCCCCCCCCCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C	13-methyltetradecanoyl-L-carnitine	C22H43NO4	InChI=1/C22H43NO4/c1-19(2)15-13-11-9-7-6-8-10-12-14-16-22(26)27-20(17-21(24)25)18-23(3,4)5/h19-20H,6-18H2,1-5H3/t20-/s2	ZXSCUWOHNPYHGO-GNLPSFAGNA-N	CC(C)CCCCCCCCCCCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C										
M_carn14_0_13me__L_m	O-13-methyltetradecanoyl-L-carnitine	m	0	C22H43NO4					correct to L-carnitine version, added new systematic ID	wimi	M_c15isocrn_m	InChI=1/C22H43NO4/c1-19(2)15-13-11-9-7-6-8-10-12-14-16-22(26)27-20(17-21(24)25)18-23(3,4)5/h19-20H,6-18H2,1-5H3/t20-/s2	ZXSCUWOHNPYHGO-GNLPSFAGNA-N	CC(C)CCCCCCCCCCCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C	13-methyltetradecanoyl-L-carnitine	C22H43NO4	InChI=1/C22H43NO4/c1-19(2)15-13-11-9-7-6-8-10-12-14-16-22(26)27-20(17-21(24)25)18-23(3,4)5/h19-20H,6-18H2,1-5H3/t20-/s2	ZXSCUWOHNPYHGO-GNLPSFAGNA-N	CC(C)CCCCCCCCCCCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C										
M_carn16_0_15me__L_c	O-15-methylhexadecanoyl-L-carnitine	c	0	C24H47NO4					correct to L-carnitine version, added new systematic ID	wimi	M_c17isocrn_c	InChI=1/C24H47NO4/c1-21(2)17-15-13-11-9-7-6-8-10-12-14-16-18-24(28)29-22(19-23(26)27)20-25(3,4)5/h21-22H,6-20H2,1-5H3/t22-/s2	BGFOOMQLURIKCP-ANBDAQEENA-N	CC(C)CCCCCCCCCCCCCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C	15-methylhexadecanoyl-L-carnitine	C24H47NO4	InChI=1/C24H47NO4/c1-21(2)17-15-13-11-9-7-6-8-10-12-14-16-18-24(28)29-22(19-23(26)27)20-25(3,4)5/h21-22H,6-20H2,1-5H3/t22-/s2	BGFOOMQLURIKCP-ANBDAQEENA-N	CC(C)CCCCCCCCCCCCCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C										
M_carn16_0_15me__L_m	O-15-methylhexadecanoyl-L-carnitine	m	0	C24H47NO4					correct to L-carnitine version, added new systematic ID	wimi	M_c17isocrn_m	InChI=1/C24H47NO4/c1-21(2)17-15-13-11-9-7-6-8-10-12-14-16-18-24(28)29-22(19-23(26)27)20-25(3,4)5/h21-22H,6-20H2,1-5H3/t22-/s2	BGFOOMQLURIKCP-ANBDAQEENA-N	CC(C)CCCCCCCCCCCCCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C	15-methylhexadecanoyl-L-carnitine	C24H47NO4	InChI=1/C24H47NO4/c1-21(2)17-15-13-11-9-7-6-8-10-12-14-16-18-24(28)29-22(19-23(26)27)20-25(3,4)5/h21-22H,6-20H2,1-5H3/t22-/s2	BGFOOMQLURIKCP-ANBDAQEENA-N	CC(C)CCCCCCCCCCCCCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C										
M_carn18_0_17me__L_c	O-17-methyloctadecanoyl-L-carnitine	c	0	C26H51NO4					correct to L-carnitine version, added new systematic ID	wimi	M_c19isocrn_c	InChI=1/C26H51NO4/c1-23(2)19-17-15-13-11-9-7-6-8-10-12-14-16-18-20-26(30)31-24(21-25(28)29)22-27(3,4)5/h23-24H,6-22H2,1-5H3/t24-/s2	USEXJCCNPVRQHM-FQKVKQEKNA-N	CC(C)CCCCCCCCCCCCCCCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C	O-17-methyloctadecanoyl-L-carnitine	C26H51NO4	InChI=1/C26H51NO4/c1-23(2)19-17-15-13-11-9-7-6-8-10-12-14-16-18-20-26(30)31-24(21-25(28)29)22-27(3,4)5/h23-24H,6-22H2,1-5H3/t24-/s2	USEXJCCNPVRQHM-FQKVKQEKNA-N	CC(C)CCCCCCCCCCCCCCCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C										
M_carn18_0_17me__L_m	O-17-methyloctadecanoyl-L-carnitine	m	0	C26H51NO4					correct to L-carnitine version, added new systematic ID	wimi	M_c19isocrn_m	InChI=1/C26H51NO4/c1-23(2)19-17-15-13-11-9-7-6-8-10-12-14-16-18-20-26(30)31-24(21-25(28)29)22-27(3,4)5/h23-24H,6-22H2,1-5H3/t24-/s2	USEXJCCNPVRQHM-FQKVKQEKNA-N	CC(C)CCCCCCCCCCCCCCCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C	O-17-methyloctadecanoyl-L-carnitine	C26H51NO4	InChI=1/C26H51NO4/c1-23(2)19-17-15-13-11-9-7-6-8-10-12-14-16-18-20-26(30)31-24(21-25(28)29)22-27(3,4)5/h23-24H,6-22H2,1-5H3/t24-/s2	USEXJCCNPVRQHM-FQKVKQEKNA-N	CC(C)CCCCCCCCCCCCCCCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C										
M_carn18_3_6z9z12z__L_c	O-gamma-linolenoyl-L-carnitine	c	0	C25H43NO4					correct to L-carnitine version, added new systematic ID	wimi	M_lnlncgcrn_c	InChI=1/C25H43NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-25(29)30-23(21-24(27)28)22-26(2,3)4/h9-10,12-13,15-16,23H,5-8,11,14,17-22H2,1-4H3/b10-9-,13-12-,16-15-/t23-/s2	InChIKey=YCINYVPLUUGAJO-MOCPCWPDNA-N	[H]\C(CCCCC)=C(/[H])C\C([H])=C(\[H])C\C([H])=C(\[H])CCCCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C	O-gamma-linolenoyl-L-carnitine	C25H43NO4	InChI=1/C25H43NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-25(29)30-23(21-24(27)28)22-26(2,3)4/h9-10,12-13,15-16,23H,5-8,11,14,17-22H2,1-4H3/b10-9-,13-12-,16-15-/t23-/s2	InChIKey=YCINYVPLUUGAJO-MOCPCWPDNA-N	[H]\C(CCCCC)=C(/[H])C\C([H])=C(\[H])C\C([H])=C(\[H])CCCCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C										
M_carn18_3_6z9z12z__L_m	O-gamma-linolenoyl-L-carnitine	m	0	C25H43NO4					correct to L-carnitine version, added new systematic ID	wimi	M_lnlncgcrn_m	InChI=1/C25H43NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-25(29)30-23(21-24(27)28)22-26(2,3)4/h9-10,12-13,15-16,23H,5-8,11,14,17-22H2,1-4H3/b10-9-,13-12-,16-15-/t23-/s2	InChIKey=YCINYVPLUUGAJO-MOCPCWPDNA-N	[H]\C(CCCCC)=C(/[H])C\C([H])=C(\[H])C\C([H])=C(\[H])CCCCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C	O-gamma-linolenoyl-L-carnitine	C25H43NO4	InChI=1/C25H43NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-25(29)30-23(21-24(27)28)22-26(2,3)4/h9-10,12-13,15-16,23H,5-8,11,14,17-22H2,1-4H3/b10-9-,13-12-,16-15-/t23-/s2	InChIKey=YCINYVPLUUGAJO-MOCPCWPDNA-N	[H]\C(CCCCC)=C(/[H])C\C([H])=C(\[H])C\C([H])=C(\[H])CCCCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C										
